gene,uniprot,family,chembl_id,smiles,assay_type,value_nm,pchembl,source,pKd
AKT1,P31749,AKT,CHEMBL383702,CS(=O)(=O)Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1,IC50,33010.0,4.48,ChEMBL,4.48
AKT1,P31749,AKT,CHEMBL205422,CC(=O)Nc1cccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)c1,IC50,12030.0,4.92,ChEMBL,4.92
AKT1,P31749,AKT,CHEMBL381785,CC(=O)Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1,IC50,227.0,6.64,ChEMBL,6.64
AKT1,P31749,AKT,CHEMBL206746,NC(=O)Cc1cccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)c1,IC50,1390.0,5.86,ChEMBL,5.86
AKT1,P31749,AKT,CHEMBL426126,NC(=O)c1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1,IC50,9310.0,5.03,ChEMBL,5.03
AKT1,P31749,AKT,CHEMBL204892,N[C@H](COc1cncc(-c2ccc(C(=O)O)cc2)c1)Cc1c[nH]c2ccccc12,IC50,31280.0,4.5,ChEMBL,4.5
AKT1,P31749,AKT,CHEMBL206179,Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1,IC50,6940.0,5.16,ChEMBL,5.16
AKT1,P31749,AKT,CHEMBL382397,N[C@H](COc1cncc(-c2ccc(F)cc2)c1)Cc1c[nH]c2ccccc12,IC50,1560.0,5.81,ChEMBL,5.81
AKT1,P31749,AKT,CHEMBL427388,N#Cc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1,IC50,1830.0,5.74,ChEMBL,5.74
AKT1,P31749,AKT,CHEMBL268054,Cc1c(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc(C#N)c(=O)n1C,IC50,1340.0,5.87,ChEMBL,5.87
AKT1,P31749,AKT,CHEMBL208199,N[C@H](COc1cncc(-c2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,260.0,6.58,ChEMBL,6.58
AKT1,P31749,AKT,CHEMBL382379,N[C@H](COc1cncc(Nc2cccnc2)c1)Cc1ccccc1,IC50,6970.0,5.16,ChEMBL,5.16
AKT1,P31749,AKT,CHEMBL207699,N[C@H](COc1cncc(Nc2ccncc2)c1)Cc1ccccc1,IC50,18830.0,4.72,ChEMBL,4.72
AKT1,P31749,AKT,CHEMBL207671,N[C@H](COc1cncc(Nc2cccnc2)c1)Cc1c[nH]c2ccccc12,IC50,2160.0,5.67,ChEMBL,5.67
AKT1,P31749,AKT,CHEMBL383223,N[C@H](COc1cncc(Nc2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,2860.0,5.54,ChEMBL,5.54
AKT1,P31749,AKT,CHEMBL207530,N[C@H](COc1cncc(-c2nc(-c3cccnc3)cs2)c1)Cc1ccccc1,IC50,9350.0,5.03,ChEMBL,5.03
